ID,Symbol,Name
1,MMM,3M
2,AOS,A. O. Smith
3,ABT,Abbott Laboratories
4,ABBV,AbbVie
5,ACN,Accenture
6,ADBE,Adobe Inc.
7,AMD,Advanced Micro Devices
8,AES,AES Corporation
9,AFL,Aflac
10,A,Agilent Technologies
11,APD,Air Products
12,ABNB,Airbnb
13,AKAM,Akamai Technologies
14,ALB,Albemarle Corporation
15,ARE,Alexandria Real Estate Equities
16,ALGN,Align Technology
17,ALLE,Allegion
18,LNT,Alliant Energy
19,ALL,Allstate
20,GOOGL,Alphabet Inc. (Class A)
21,GOOG,Alphabet Inc. (Class C)
22,MO,Altria
23,AMZN,Amazon
24,AMCR,Amcor
25,AMTM,Amentum
26,AEE,Ameren
27,AEP,American Electric Power
28,AXP,American Express
29,AIG,American International Group
30,AMT,American Tower
31,AWK,American Water Works
32,AMP,Ameriprise Financial
33,AME,Ametek
34,AMGN,Amgen
35,APH,Amphenol
36,ADI,Analog Devices
37,ANSS,Ansys
38,AON,Aon
39,APA,APA Corporation
40,AAPL,Apple Inc.
41,AMAT,Applied Materials
42,APTV,Aptiv
43,ACGL,Arch Capital Group
44,ADM,Archer Daniels Midland
45,ANET,Arista Networks
46,AJG,Arthur J. Gallagher & Co.
47,AIZ,Assurant
48,T,AT&T
49,ATO,Atmos Energy
50,ADSK,Autodesk
51,ADP,Automatic Data Processing
52,AZO,AutoZone
53,AVB,AvalonBay Communities
54,AVY,Avery Dennison
55,AXON,Axon Enterprise
56,BKR,Baker Hughes
57,BALL,Ball Corporation
58,BAC,Bank of America
59,BAX,Baxter International
60,BDX,Becton Dickinson
61,BRK.B,Berkshire Hathaway
62,BBY,Best Buy
63,TECH,Bio-Techne
64,BIIB,Biogen
65,BLK,BlackRock
66,BX,Blackstone Inc.
67,BK,BNY Mellon
68,BA,Boeing
69,BKNG,Booking Holdings
70,BWA,BorgWarner
71,BSX,Boston Scientific
72,BMY,Bristol Myers Squibb
73,AVGO,Broadcom
74,BR,Broadridge Financial Solutions
75,BRO,Brown & Brown
76,BF.B,Brown–Forman
77,BLDR,Builders FirstSource
78,BG,Bunge Global
79,BXP,"BXP, Inc."
80,CHRW,C.H. Robinson
81,CDNS,Cadence Design Systems
82,CZR,Caesars Entertainment
83,CPT,Camden Property Trust
84,CPB,Campbell Soup Company
85,COF,Capital One
86,CAH,Cardinal Health
87,KMX,CarMax
88,CCL,Carnival
89,CARR,Carrier Global
90,CTLT,Catalent
91,CAT,Caterpillar Inc.
92,CBOE,Cboe Global Markets
93,CBRE,CBRE Group
94,CDW,CDW
95,CE,Celanese
96,COR,Cencora
97,CNC,Centene Corporation
98,CNP,CenterPoint Energy
99,CF,CF Industries
100,CRL,Charles River Laboratories
101,SCHW,Charles Schwab Corporation
102,CHTR,Charter Communications
103,CVX,Chevron Corporation
104,CMG,Chipotle Mexican Grill
105,CB,Chubb Limited
106,CHD,Church & Dwight
107,CI,Cigna
108,CINF,Cincinnati Financial
109,CTAS,Cintas
110,CSCO,Cisco
111,C,Citigroup
112,CFG,Citizens Financial Group
113,CLX,Clorox
114,CME,CME Group
115,CMS,CMS Energy
116,KO,Coca-Cola Company (The)
117,CTSH,Cognizant
118,CL,Colgate-Palmolive
119,CMCSA,Comcast
120,CAG,Conagra Brands
121,COP,ConocoPhillips
122,ED,Consolidated Edison
123,STZ,Constellation Brands
124,CEG,Constellation Energy
125,COO,Cooper Companies (The)
126,CPRT,Copart
127,GLW,Corning Inc.
128,CPAY,Corpay
129,CTVA,Corteva
130,CSGP,CoStar Group
131,COST,Costco
132,CTRA,Coterra
133,CRWD,CrowdStrike
134,CCI,Crown Castle
135,CSX,CSX Corporation
136,CMI,Cummins
137,CVS,CVS Health
138,DHR,Danaher Corporation
139,DRI,Darden Restaurants
140,DVA,DaVita
141,DAY,Dayforce
142,DECK,Deckers Brands
143,DE,Deere & Company
144,DELL,Dell Technologies
145,DAL,Delta Air Lines
146,DVN,Devon Energy
147,DXCM,Dexcom
148,FANG,Diamondback Energy
149,DLR,Digital Realty
150,DFS,Discover Financial
151,DG,Dollar General
152,DLTR,Dollar Tree
153,D,Dominion Energy
154,DPZ,Domino's
155,DOV,Dover Corporation
156,DOW,Dow Inc.
157,DHI,D. R. Horton
158,DTE,DTE Energy
159,DUK,Duke Energy
160,DD,DuPont
161,EMN,Eastman Chemical Company
162,ETN,Eaton Corporation
163,EBAY,eBay
164,ECL,Ecolab
165,EIX,Edison International
166,EW,Edwards Lifesciences
167,EA,Electronic Arts
168,ELV,Elevance Health
169,EMR,Emerson Electric
170,ENPH,Enphase Energy
171,ETR,Entergy
172,EOG,EOG Resources
173,EPAM,EPAM Systems
174,EQT,EQT Corporation
175,EFX,Equifax
176,EQIX,Equinix
177,EQR,Equity Residential
178,ERIE,Erie Indemnity
179,ESS,Essex Property Trust
180,EL,Estée Lauder Companies (The)
181,EG,Everest Group
182,EVRG,Evergy
183,ES,Eversource Energy
184,EXC,Exelon
185,EXPE,Expedia Group
186,EXPD,Expeditors International
187,EXR,Extra Space Storage
188,XOM,ExxonMobil
189,FFIV,"F5, Inc."
190,FDS,FactSet
191,FICO,Fair Isaac
192,FAST,Fastenal
193,FRT,Federal Realty Investment Trust
194,FDX,FedEx
195,FIS,Fidelity National Information Services
196,FITB,Fifth Third Bancorp
197,FSLR,First Solar
198,FE,FirstEnergy
199,FI,Fiserv
200,FMC,FMC Corporation
201,F,Ford Motor Company
202,FTNT,Fortinet
203,FTV,Fortive
204,FOXA,Fox Corporation (Class A)
205,FOX,Fox Corporation (Class B)
206,BEN,Franklin Resources
207,FCX,Freeport-McMoRan
208,GRMN,Garmin
209,IT,Gartner
210,GE,GE Aerospace
211,GEHC,GE HealthCare
212,GEV,GE Vernova
213,GEN,Gen Digital
214,GNRC,Generac
215,GD,General Dynamics
216,GIS,General Mills
217,GM,General Motors
218,GPC,Genuine Parts Company
219,GILD,Gilead Sciences
220,GPN,Global Payments
221,GL,Globe Life
222,GDDY,GoDaddy
223,GS,Goldman Sachs
224,HAL,Halliburton
225,HIG,Hartford (The)
226,HAS,Hasbro
227,HCA,HCA Healthcare
228,DOC,Healthpeak Properties
229,HSIC,Henry Schein
230,HSY,Hershey Company (The)
